id,Barycentric arrival time,Waiting time (min),Width (ms),Width_error,S (Jy),S_error,Fluence (Jy ms),RM (rad m^-2),RM_error,V/I (%),V/I_error,L/I (%),L/I_error,Drift rate ((MHz/ms)),Drift rate_error,PA (deg),PA_error
1,59313.74325197000000000000 ,0,6.2,0.5,0.17,0.03,1.06,-608.5,8.6,6,7,56,5,-41.7,1.8,24,9
2,59313.74897156000000000000 ,8.24,19.3,0.4,0.48,0.07,9.27,-607.4,0.6,-11,1,92,1,-19.4,0.1,5,6
3,59313.75327832000000000000 ,14.44,15.5,0.2,0.23,0.03,3.54,-601.9,0.4,-1,1,94,1,-34.9,0.1,28,4
4,59313.76667874000000000000 ,33.73,9,0.9,0.1,0.02,0.92,-599.2,4.4,3,4,90,5,-51.1,2.1,24,11
5,59313.76668105000000000000 ,33.74,8.5,0.3,0.5,0.07,4.28,-620.4,4.2,-20,2,99,2,-52,0.4,-6,5
6,59313.77488410000000000000 ,45.55,22.2,1.6,1.27,0.19,28.12,-608.3,0.3,6,1a,98,1,-16.5,0.1,35,2
7,59313.78795702000000000000 ,64.38,5.6,0.6,0.4,0.06,2.22,-604.6,2.5,3,2,97,2,-88.6,0.6,41,6
8,59313.80949925000000000000 ,95.4,6.4,0.5,0.16,0.02,1.02,-612,5.8,0,4,90,4,-51.4,0.8,-6,7
9,59313.81914765000000000000 ,109.29,10.3,0.3,2.31,0.35,23.78,-584.1,0.3,-5,1,99,1,-29,0.1,10,2
10,59313.82721002000000000000 ,120.9,7.1,1.1,0.09,0.01,0.66,-604.7,11.7,-3,9,78,8,-45.8,2.8,-27,11
11a,59313.82721037000000000000 ,120.9,7.8,0.8,0.06,0.01,0.47,-601.2,11.7,7,4,84,4,-108.3,11.1,13,11
12,59313.83062730000000000000 ,125.82,11.1,0.3,0.1,0.01,1.09,-618,1.4,-3,1,90,1,-28.5,0.1,9,6
13,59313.83240637000000000000 ,128.38,12.1,0.7,0.06,0.01,0.76,-599.4,2.7,10,4,100,3,-32.3,0.5,-1,8
14,59313.84107824000000000000 ,140.87,9.7,0.8,0.12,0.02,1.19,-600.5,6.3,3,5,91,4,-28.9,0.3,-3,10
15,59313.84379515000000000000 ,144.78,4.8,0.1,0.57,0.09,2.75,-614.7,1.3,-6,2,100,2,-65.2,0.2,6,4
16,59313.84713858000000000000 ,149.6,10.4,0.3,0.09,0.01,0.94,-616.9,1.3,4,1,96,2,-23.7,0.1,6,7
17,59313.85342708000000000000 ,158.65,7.5,1.5,0.12,0.02,0.91,-601.8,4.4,-3,4,96,4,-59.9,1.2,-13,7
18,59313.85674812000000000000 ,163.43,7.4,0.5,0.14,0.02,1.02,-579.5,6.7,-17,5,84,4,-46,1.6,29,6
19,59313.88723065000000000000 ,207.33,4.7,0.4,0.14,0.02,0.63,-592.5,5,0,4,92,4,-94,5.7,-22,6
20,59313.89050534000000000000 ,212.04,5.9,0.1,1.51,0.23,8.94,-624,0.6,-21,1,96,1,-45.9,0.1,18,3
