BurstID,  ObsDate,             MJD,        DM,     Width,        PeakFlux,        PeakFlux_error,          Fluence,          Fluence_error,       Energy_c,       Energy_w, BandWidth,        Width,         PeakFlux,         PeakFlux_error,         Fluence,         Fluence_error,       Energy_w
       ,         ,     Barycentric,          , Full Band,       Full Band,       Full Band,        Full Band,        Full Band,      Full Band,      Full Band,          , Limited Band,     Limited Band,     Limited Band,    Limited Band,    Limited Band,   Limited Band
       ,         ,                , (pc/cm^3),      (ms),           (mJy),           (mJy),          (Jy ms),          (Jy ms),          (erg),          (erg),     (MHz),         (ms),            (mJy),            (mJy),         (Jy ms),         (Jy ms),          (erg)
1,20210926,59482.94451471900000000000 ,412.97,3.31,12.39,0.26,0.041,0.001,   1.148(1)e+37,   4.590(1)e+36,200,3.81,22.5,0.74,0.086,0.001,  4.210(45)e+36
2,20210926,59482.94673197400000000000 ,412.97,3.78,28.61,0.05,0.108,0.001,  3.023(28)e+37,  1.209(11)e+37,150,3.55,79.38,0.36,0.281,0.003,  1.038(10)e+37
3,20210926,59482.94700761300000000000 ,412.97,4.34,5.99,0.07,0.026,0.001,   7.278(1)e+36,   2.911(1)e+36,50,5.18,32.52,0.22,0.168,0.002,  2.071(22)e+36
4,20210926,59482.94712126000000000000 ,412.97,2.7,7.41,0.09,0.02,0.001,   5.598(1)e+36,   2.239(1)e+36,100,3.54,20.05,0.42,0.071,0.001,  1.747(22)e+36
5,20210926,59482.94735591000000000000 ,412.97,4.47,9.61,0.1,0.043,0.001,   1.204(1)e+37,   4.814(1)e+36,100,4,38.02,0.22,0.152,0.002,  3.740(45)e+36
6,20210926,59482.94757675600000000000 ,412.97,2.85,10.89,1.93,0.031,0.005,   8.677(1)e+36,   3.471(1)e+36,150,3.17,22.96,4.26,0.073,0.001,  2.687(34)e+36
7,20210926,59482.94769022700000000000 ,412.97,8.46,211.11,1.1,1.787,0.009,  5.002(45)e+38,  2.001(18)e+38,300,7.82,462.35,2.39,3.617,0.034,  2.668(25)e+38
8,20210926,59482.95004842900000000000 ,412.97,5.77,68.47,0.64,0.395,0.004,  1.106(11)e+38,  4.422(45)e+37,450,5.26,75.19,0.71,0.395,0.004,  4.373(40)e+37
9,20210926,59482.95226165400000000000 ,412.97,4.83,29.58,0.28,0.143,0.001,  4.003(28)e+37,  1.601(11)e+37,200,4.79,67.06,0.66,0.322,0.003,  1.581(13)e+37
10,20210926,59482.95326156800000000000 ,412.97,5.96,38.59,0.37,0.23,0.002,  6.438(56)e+37,  2.575(22)e+37,150,5.3,104.79,1.05,0.556,0.005,  2.049(20)e+37
11,20210926,59482.95326177700000000000 ,412.97,5.88,62.74,0.56,0.369,0.003,   1.033(8)e+38,  4.131(34)e+37,350,4.09,123.75,1.18,0.507,0.005,  4.360(40)e+37
12,20210926,59482.95354564100000000000 ,412.97,4.81,6.24,0.61,0.03,0.003,   8.397(1)e+36,   3.359(1)e+36,100,2.97,31.24,0.87,0.093,0.001,  2.284(22)e+36
13,20210926,59482.95378756700000000000 ,412.97,3.12,6.4,0.06,0.02,0.001,   5.598(1)e+36,   2.239(1)e+36,100,1.73,26.89,0.37,0.046,0.001,  1.142(22)e+36
14,20210926,59482.95569164800000000000 ,412.97,3.71,30.7,0.06,0.114,0.001,  3.191(28)e+37,  1.276(11)e+37,300,3.42,49.57,0.32,0.169,0.002,  1.249(13)e+37
15,20210926,59482.95926925600000000000 ,412.97,6.77,227.02,0.3,1.537,0.002,  4.302(45)e+38,  1.721(18)e+38,400,6.1,290.64,0.5,1.773,0.018,  1.744(18)e+38
16,20210926,59482.96155416800000000000 ,412.97,14.39,375.59,2.33,5.403,0.034,  1.512(16)e+39,  6.049(64)e+38,350,12.42,584.6,2.99,7.262,0.076,  6.249(66)e+38
17,20210926,59482.96156887800000000000 ,412.97,2.7,8.13,3.83,0.022,0.01,   6.158(1)e+36,   2.463(1)e+36,150,2.82,22.93,6,0.065,0.001,  2.385(34)e+36
18,20210926,59482.96237902900000000000 ,412.97,8.69,14.73,3.94,0.128,0.034,  3.583(28)e+37,  1.433(11)e+37,250,7.76,28.63,5.76,0.222,0.003,  1.366(17)e+37
19,20210926,59482.96311476700000000000 ,412.97,6.23,10.11,2.38,0.063,0.015,  1.763(28)e+37, 7.054(112)e+36,150,5.42,26.2,3.85,0.142,0.002,  5.240(67)e+36
