# filename mjd_start mjd_end
FRB20201124A_tracking-M01_0001.fits 59311.32706018518518518518 59311.32713475058962962962
FRB20201124A_tracking-M01_0002.fits 59311.32713475058962962962 59311.32720931599407407407
FRB20201124A_tracking-M01_0003.fits 59311.32720931599407407407 59311.32728388139851851851
FRB20201124A_tracking-M01_0004.fits 59311.32728388139851851851 59311.32735844680296296296
FRB20201124A_tracking-M01_0005.fits 59311.32735844680296296296 59311.32743301220740740740
FRB20201124A_tracking-M01_0006.fits 59311.32743301220740740740 59311.32750757761185185185
FRB20201124A_tracking-M01_0007.fits 59311.32750757761185185185 59311.32758214301629629629
FRB20201124A_tracking-M01_0008.fits 59311.32758214301629629629 59311.32765670842074074074
FRB20201124A_tracking-M01_0009.fits 59311.32765670842074074074 59311.32773127382518518518
FRB20201124A_tracking-M01_0010.fits 59311.32773127382518518518 59311.32780583922962962962
FRB20201124A_tracking-M01_0011.fits 59311.32780583922962962962 59311.32788040463407407407
FRB20201124A_tracking-M01_0012.fits 59311.32788040463407407407 59311.32795497003851851851
FRB20201124A_tracking-M01_0013.fits 59311.32795497003851851851 59311.32802953544296296296
FRB20201124A_tracking-M01_0014.fits 59311.32802953544296296296 59311.32810410084740740740
FRB20201124A_tracking-M01_0015.fits 59311.32810410084740740740 59311.32817866625185185185
FRB20201124A_tracking-M01_0016.fits 59311.32817866625185185185 59311.32825323165629629629
FRB20201124A_tracking-M01_0017.fits 59311.32825323165629629629 59311.32832779706074074074
FRB20201124A_tracking-M01_0018.fits 59311.32832779706074074074 59311.32840236246518518518
FRB20201124A_tracking-M01_0019.fits 59311.32840236246518518518 59311.32847692786962962962
FRB20201124A_tracking-M01_0020.fits 59311.32847692786962962962 59311.32855149327407407407
FRB20201124A_tracking-M01_0021.fits 59311.32855149327407407407 59311.32862605867851851851
FRB20201124A_tracking-M01_0022.fits 59311.32862605867851851851 59311.32870062408296296296
FRB20201124A_tracking-M01_0023.fits 59311.32870062408296296296 59311.32877518948740740740
FRB20201124A_tracking-M01_0024.fits 59311.32877518948740740740 59311.32884975489185185185
FRB20201124A_tracking-M01_0025.fits 59311.32884975489185185185 59311.32892432029629629629
FRB20201124A_tracking-M01_0026.fits 59311.32892432029629629629 59311.32899888570074074074
FRB20201124A_tracking-M01_0027.fits 59311.32899888570074074074 59311.32907345110518518518
FRB20201124A_tracking-M01_0028.fits 59311.32907345110518518518 59311.32914801650962962962
FRB20201124A_tracking-M01_0029.fits 59311.32914801650962962962 59311.32922258191407407407
FRB20201124A_tracking-M01_0030.fits 59311.32922258191407407407 59311.32929714731851851851
FRB20201124A_tracking-M01_0031.fits 59311.32929714731851851851 59311.32937171272296296296
FRB20201124A_tracking-M01_0032.fits 59311.32937171272296296296 59311.32944627812740740740
FRB20201124A_tracking-M01_0033.fits 59311.32944627812740740740 59311.32952084353185185185
