#Start_mjd_TCB_LTT End_mjd_TCB_LTT
59307.332985590801 59307.416323166522
59308.331865428911 59308.415203064418
59309.345663665976 59309.429001354583
59310.324743525693 59310.408081290174
59311.325326905397 59311.408664735354
59312.268323475553 59312.351661405810
59313.324517169218 59313.407855137964
59314.321260835059 59314.404598878173
59315.318248434000 59315.401586553540
59316.317702030734 59316.401040227312
59317.338034502485 59317.421372766410
59318.310385760589 59318.314414281973
59318.317630545898 59318.323968759250
59318.333022820210 59318.333247164344
59318.348600263082 59318.393554433038
59319.303511771424 59319.386850218703
59320.226690576477 59320.306556590469
59321.223140062066 59321.285646499746
59322.295973671091 59322.379312382422
59323.295897347409 59323.379236148990
59324.330541774529 59324.339605178924
59324.345633240926 59324.417918739826
59325.243668532421 59325.264512426191
59325.285332156731 59325.306176045036
59325.326995769981 59325.347839652510
59325.368659371583 59325.389503248378
59326.222763710037 59326.243607629985
59326.264427386996 59326.285271301917
59326.306091053484 59326.319363403381
59326.327327945757 59326.348171852034
59326.349768451517 59326.370612354636
59327.215747918657 59327.236591863635
59327.257411645609 59327.278255585654
59327.299075362265 59327.319919296628
59327.340739067520 59327.354288838316
59328.264285000078 59328.285128963718
59328.305948763933 59328.326792721906
59328.347612516292 59328.368456468423
59328.389276257229 59328.410120203989
59329.379126691631 59329.441633633425
59330.240179136119 59330.261023152962
59330.281507380852 59330.302351392253
59330.323171240110 59330.344015245770
59330.364835087858 59330.385679087944
59331.262367653995 59331.283211693597
59331.303661223676 59331.324505257639
59331.345325127877 59331.366169156056
59331.386989020823 59331.407833043770
59334.225695227775 59334.246539350774
59334.267359310266 59334.288203427837
59334.309023381800 59334.329867493689
59334.357631450861 59334.378475556281
59336.211684762260 59336.232528941255
59336.246404925070 59336.267249099743
59336.308901199358 59336.329745365569
59336.350565368099 59336.371409528845
59337.204681503274 59337.225525710746
59337.246345754880 59337.267189957260
59337.288009995929 59337.308854192728
59337.329674225708 59337.350518416824
59338.277536167305 59338.298380393564
59338.378224846216 59338.399069059553
59339.256647597700 59339.277491855239
59339.312200063483 59339.333044313469
59340.183679829534 59340.204524124762
59340.218400186102 59340.239244477314
59340.253120535839 59340.273964822554
59340.287840878031 59340.308685160147
59341.201321944733 59341.222166267209
59341.242650795502 59341.263495112798
59341.284315266217 59341.305159577860
59341.325979725741 59341.346824031913
59343.190467067339 59343.211311450279
59343.232131669705 59343.252976047588
59343.273796261623 59343.294640633998
59343.315460842423 59343.336305209210
59344.223055002265 59344.243899411384
59344.264719656705 59344.285564060367
59344.306384300085 59344.327228698239
59344.348048932545 59344.368893325511
59345.228562432225 59345.249406871073
59345.270227145964 59345.291071579326
59345.311891848622 59345.332736276432
59345.353556540525 59345.374400963396
59346.275041724737 59346.295886188112
59346.302818234421 59346.323662694173
59346.330594739273 59346.351604522373
59346.358371239563 59346.379215692665
59347.160418597567 59347.181263946884
59347.210451141284 59347.231296484839
59347.243748294692 59347.264593633932
59347.285413127531 59347.306258461271
59348.186762914534 59348.207608292105
59348.228427824353 59348.249273196765
59348.270092723571 59348.290938090497
59348.321479417464 59348.342324777826
59349.162416440522 59349.183261011545
59349.204081418837 59349.224925984970
59349.245746387169 59349.266590947940
59349.294968903756 59349.315813458008
59350.162376034663 59350.183221478146
59350.204041076300 59350.224886514945
59350.253321548589 59350.274166980817
59350.302602005599 59350.323447431401
59351.162337171976 59351.183182647350
59351.193586001893 59351.214431473651
59351.224834826280 59351.245680294072
59351.256083644679 59351.276929108339
59352.245630190504 59352.266475687531
59352.276879052777 59352.297724545700
59352.308127908931 59352.328973397933
59352.339376759286 59352.360222244744
59353.231706163489 59353.252551694539
59353.273371379830 59353.294216905429
59354.137925170682 59354.158770745271
59354.172646257917 59354.193491828824
59357.130887742896 59357.151733416227
59357.165608994525 59357.186454664072
59360.123864577188 59360.144710350090
59360.158585994744 59360.179431763936
59363.217548382148 59363.238391348968
59363.259214258695 59363.280057220130
59366.161944201092 59366.182787275808
59366.203610293414 59366.224453362796
59369.134803057932 59369.155646237705
59369.184247069032 59369.205090242649
59371.200088533005 59371.220931772768
59371.249370650105 59371.270213883625
59372.148035178456 59372.168878459095
59372.194528051776 59372.215371326442
59373.203888159645 59373.224731467315
59373.253170437354 59373.274013738883
59374.175773138624 59374.196616484180
59374.225055505834 59374.245898845038
59375.234800965103 59375.255644337347
59375.283516266034 59375.304359632850
59376.194524853767 59376.215368265337
59376.245219417273 59376.266062822528
