------,--------------,-----------,---------------------,------,-----------,----------------,-----,-----------
#,NAME,,P0,,,P1,,
,,,(s),,,,,
------,--------------,-----------,---------------------,------,-----------,----------------,-----,-----------
1,J0002+6216,cwp+17,0.1153635682680,14,cwp+17,5.96703E-15,7,cwp+17
2,J0006+1834,cnt96,0.693748,0,dmo+24,2.097E-15,12,cn95
3,J0007+7303,aaa+09c,0.3158731909,3,awd+12,3.6039E-13,5,awd+12
4,J0011+08,dsm+16,2.55287,0,dsm+16,*,0,*
5,J0012+5431,dcm+23,3.02530070997,19,dcm+23,1.28e-16,0,dcm+23
,,,,,,,,
6,B0011+47,dth78,1.240699038946,11,hlk+04,5.6446E-16,14,hlk+04
7,J0021-0909,clh+20,2.31413082909,17,clh+20,1.039E-15,17,clh+20
8,J0023+0923,hrm+11,0.003050203104754390,4,aab+21a,1.142345E-20,14,aab+21a
9,B0021-72C,mld+90,0.00575677999551635,14,frk+17,-4.98503E-20,20,frk+17
10,B0021-72D,mlr+91,0.00535757328486573,9,frk+17,-3.4220E-21,9,frk+17
,,,,,,,,
11,B0021-72E,mlr+91,0.00353632915276244,4,frk+17,9.85103E-20,6,frk+17
12,B0021-72F,mlr+91,0.00262357935251262,4,frk+17,6.45029E-20,7,frk+17
13,B0021-72G,rlm+95,0.00404037914356515,14,frk+17,-4.21584E-20,17,frk+17
14,B0021-72H,mlr+91,0.00321034070935032,11,frk+17,-1.8294E-21,11,frk+17
15,B0021-72I,mlr+91,0.00348499206166289,13,frk+17,-4.5874E-20,3,frk+17
,,,,,,,,
16,B0021-72J,mlr+91,0.00210063354535246,5,frk+17,-9.7917E-21,9,frk+17
17,B0021-72L,rlm+95,0.0043461679994616,4,frk+17,-1.22045E-19,4,frk+17
18,B0021-72M,mlr+91,0.0036766432176002,3,frk+17,-3.8419E-20,6,frk+17
19,B0021-72N,rlm+95,0.00305395434626085,10,frk+17,-2.18570E-20,19,frk+17
20,J0024-7204O,clf+00,0.00264334329724357,5,frk+17,3.03493E-20,6,frk+17
,,,,,,,,
21,J0024-7204P,clf+00,0.0036430207,3,rft+16,6.6E-19,40,rft+16
22,J0024-7204Q,clf+00,0.00403318118457258,15,frk+17,3.4008E-20,4,frk+17
23,J0024-7204R,clf+00,0.00348046270749329,13,frk+17,1.48352E-19,3,frk+17
24,J0024-7204S,clf+00,0.00283040595787912,8,frk+17,-1.205413E-19,9,frk+17
25,J0024-7204T,clf+00,0.0075884798073671,12,frk+17,2.93805E-19,12,frk+17
,,,,,,,,
26,J0024-7204U,clf+00,0.00434282669639233,12,frk+17,9.52279E-20,17,frk+17
27,J0024-7204V,clf+00,0.00481016762,7,rft+16,*,0,*
28,J0024-7204W,clf+00,0.0023523445319370,3,rft+16,-8.65526E-20,12,rft+16
29,J0024-7204X,fre08,0.00477152291069356,5,rft+16,1.83610E-20,7,rft+16
30,J0024-7204Y,frk+17,0.00219665714352123,5,frk+17,-3.51721E-20,10,frk+17
,,,,,,,,
31,J0024-7204Z,frk+17,0.004554447383906,3,frk+17,-4.54E-21,7,frk+17
32,J0024-7204aa,phl+16,0.00184,0,phl+16,*,0,*
33,J0024-7204ab,phl+16,0.0037046394947985,6,frk+17,9.820E-21,9,frk+17
34,J0024-7204ac,rgf+21,0.00274,0,rgf+21,*,0,*
35,J0024-7204ad,rgf+21,0.00374,0,rgf+21,*,0,*
,,,,,,,,
36,J0026+6320,jml+09,0.31835777079,3,sjm+19,1.506E-16,6,sjm+19
37,J0026-1955,mss+20,1.306150,5,mbs+22,*,0,*
38,J0030+0451,lzb+00,0.00486545328635212,5,abb+23,1.01738E-20,3,abb+23
39,J0032+6946,flm+23,0.0368037842626747,5,msk+24,3.589656E-18,5,msk+24
40,J0033+57,hrk+08,0.315,0,hrk+08,*,0,*
,,,,,,,,
41,J0033+61,hrk+08,0.912,0,hrk+08,*,0,*
42,J0034+69,slr+14,0.03680412,16,slr+14,*,0,*
43,J0034-0534,bhl+94,0.0018771818845850,2,aaa+10b,4.9660E-21,10,aaa+10b
44,B0031-07,lvw69a,0.9429509945598,17,hlk+04,4.08210E-16,7,hlk+04
45,J0036-1033,sbs+21,0.900009289,3,sbs+21,2.131E-16,3,sbs+21
,,,,,,,,
46,J0038-2501,acd+19,0.2569264575329,17,acd+19,7.60E-19,6,acd+19
47,J0039+35,scb+19,0.5367,0,dmo+24,*,0,*
48,B0037+56,dtws85,1.1182253452412,13,hlk+04,2.878973E-15,12,hlk+04
49,J0040-7326,cls+24,398.7e-3,0,cls+24,*,0,*
50,J0040-7335,cls+24,145.2e-3,0,cls+24,*,0,*
,,,,,,,,
51,J0040-7337,cls+24,59.9e-3,0,cls+24,*,0,*
52,J0043-73,tsm+19,0.9374294,3,tsm+19,*,0,*
53,J0044-7314,cls+24,396.9e-3,0,cls+24,*,0,*
54,J0045-7042,mfl+06,0.63233580002,6,mfl+06,2.49E-15,3,mfl+06
55,J0045-7319,mmh+91,0.92627590497,3,kbm+96,4.4632E-15,9,kbm+96
,,,,,,,,
56,B0045+33,dtws85,1.217094296058,8,hlk+04,2.35454E-15,6,hlk+04
57,J0048-7317,cls+24,79.3e-3,0,cls+24,*,0,*
58,J0050+03,dsm+16,1.36656,0,dsm+16,*,0,*
59,J0051+0423,snt97,0.354732,0,dmo+24,7.0E-18,20,snt97
60,J0052-72,tsm+19,0.19144433,5,tsm+19,*,0,*
,,,,,,,,
61,J0054+66,hrk+08,1.39,0,hrk+08,*,0,*
62,J0054+6650,msk+24,1.390217485626,12,msk+24,5.55123E-15,10,msk+24
63,J0054+69,kkl+15,*,0,*,*,0,*
64,J0054+6946,slr+14,0.832911328744,5,lsk+18,7.194E-16,7,lsk+18
65,J0054-7228,cls+24,290.9e-3,0,cls+24,*,0,*
,,,,,,,,
