# filename mjd_start mjd_end
FRB20201124A_1_tracking-M01_0001.fits 59347.16458333333333333333 59347.16488159495111111111
FRB20201124A_1_tracking-M01_0002.fits 59347.16488159495111111111 59347.16517985656888888888
FRB20201124A_1_tracking-M01_0003.fits 59347.16517985656888888888 59347.16547811818666666666
FRB20201124A_1_tracking-M01_0004.fits 59347.16547811818666666666 59347.16577637980444444444
FRB20201124A_1_tracking-M01_0005.fits 59347.16577637980444444444 59347.16607464142222222222
FRB20201124A_1_tracking-M01_0006.fits 59347.16607464142222222222 59347.16637290304000000000
FRB20201124A_1_tracking-M01_0007.fits 59347.16637290304000000000 59347.16667116465777777777
FRB20201124A_1_tracking-M01_0008.fits 59347.16667116465777777777 59347.16696942627555555555
FRB20201124A_1_tracking-M01_0009.fits 59347.16696942627555555555 59347.16726768789333333333
FRB20201124A_1_tracking-M01_0010.fits 59347.16726768789333333333 59347.16756594951111111111
FRB20201124A_1_tracking-M01_0011.fits 59347.16756594951111111111 59347.16786421112888888888
FRB20201124A_1_tracking-M01_0012.fits 59347.16786421112888888888 59347.16816247274666666666
FRB20201124A_1_tracking-M01_0013.fits 59347.16816247274666666666 59347.16846073436444444444
FRB20201124A_1_tracking-M01_0014.fits 59347.16846073436444444444 59347.16875899598222222222
FRB20201124A_1_tracking-M01_0015.fits 59347.16875899598222222222 59347.16905725760000000000
FRB20201124A_1_tracking-M01_0016.fits 59347.16905725760000000000 59347.16935551921777777777
FRB20201124A_1_tracking-M01_0017.fits 59347.16935551921777777777 59347.16965378083555555555
FRB20201124A_1_tracking-M01_0018.fits 59347.16965378083555555555 59347.16995204245333333333
FRB20201124A_1_tracking-M01_0019.fits 59347.16995204245333333333 59347.17025030407111111111
FRB20201124A_1_tracking-M01_0020.fits 59347.17025030407111111111 59347.17054856568888888888
FRB20201124A_1_tracking-M01_0021.fits 59347.17054856568888888888 59347.17084682730666666666
FRB20201124A_1_tracking-M01_0022.fits 59347.17084682730666666666 59347.17114508892444444444
FRB20201124A_1_tracking-M01_0023.fits 59347.17114508892444444444 59347.17144335054222222222
FRB20201124A_1_tracking-M01_0024.fits 59347.17144335054222222222 59347.17174161216000000000
FRB20201124A_1_tracking-M01_0025.fits 59347.17174161216000000000 59347.17203987377777777777
FRB20201124A_1_tracking-M01_0026.fits 59347.17203987377777777777 59347.17233813539555555555
FRB20201124A_1_tracking-M01_0027.fits 59347.17233813539555555555 59347.17263639701333333333
FRB20201124A_1_tracking-M01_0028.fits 59347.17263639701333333333 59347.17293465863111111111
FRB20201124A_1_tracking-M01_0029.fits 59347.17293465863111111111 59347.17323292024888888888
FRB20201124A_1_tracking-M01_0030.fits 59347.17323292024888888888 59347.17353118186666666666
FRB20201124A_1_tracking-M01_0031.fits 59347.17353118186666666666 59347.17382944348444444444
FRB20201124A_1_tracking-M01_0032.fits 59347.17382944348444444444 59347.17412770510222222222
FRB20201124A_1_tracking-M01_0033.fits 59347.17412770510222222222 59347.17442596672000000000
FRB20201124A_1_tracking-M01_0034.fits 59347.17442596672000000000 59347.17472422833777777777
FRB20201124A_1_tracking-M01_0035.fits 59347.17472422833777777777 59347.17502248995555555555
FRB20201124A_1_tracking-M01_0036.fits 59347.17502248995555555555 59347.17532075157333333333
FRB20201124A_1_tracking-M01_0037.fits 59347.17532075157333333333 59347.17561901319111111111
FRB20201124A_1_tracking-M01_0038.fits 59347.17561901319111111111 59347.17591727480888888888
FRB20201124A_1_tracking-M01_0039.fits 59347.17591727480888888888 59347.17621553642666666666
FRB20201124A_1_tracking-M01_0040.fits 59347.17621553642666666666 59347.17651379804444444444
FRB20201124A_1_tracking-M01_0041.fits 59347.17651379804444444444 59347.17681205966222222222
FRB20201124A_1_tracking-M01_0042.fits 59347.17681205966222222222 59347.17711032128000000000
FRB20201124A_1_tracking-M01_0043.fits 59347.17711032128000000000 59347.17740858289777777777
FRB20201124A_1_tracking-M01_0044.fits 59347.17740858289777777777 59347.17770684451555555555
FRB20201124A_1_tracking-M01_0045.fits 59347.17770684451555555555 59347.17800510613333333333
FRB20201124A_1_tracking-M01_0046.fits 59347.17800510613333333333 59347.17830336775111111111
FRB20201124A_1_tracking-M01_0047.fits 59347.17830336775111111111 59347.17860162936888888888
FRB20201124A_1_tracking-M01_0048.fits 59347.17860162936888888888 59347.17889989098666666666
FRB20201124A_1_tracking-M01_0049.fits 59347.17889989098666666666 59347.17919815260444444444
FRB20201124A_1_tracking-M01_0050.fits 59347.17919815260444444444 59347.17949641422222222222
FRB20201124A_1_tracking-M01_0051.fits 59347.17949641422222222222 59347.17979467584000000000
FRB20201124A_1_tracking-M01_0052.fits 59347.17979467584000000000 59347.18009293745777777777
FRB20201124A_1_tracking-M01_0053.fits 59347.18009293745777777777 59347.18039119907555555555
FRB20201124A_1_tracking-M01_0054.fits 59347.18039119907555555555 59347.18068946069333333333
FRB20201124A_1_tracking-M01_0055.fits 59347.18068946069333333333 59347.18098772231111111111
FRB20201124A_1_tracking-M01_0056.fits 59347.18098772231111111111 59347.18128598392888888888
FRB20201124A_1_tracking-M01_0057.fits 59347.18128598392888888888 59347.18158424554666666666
FRB20201124A_1_tracking-M01_0058.fits 59347.18158424554666666666 59347.18188250716444444444
FRB20201124A_1_tracking-M01_0059.fits 59347.18188250716444444444 59347.18218076878222222222
FRB20201124A_1_tracking-M01_0060.fits 59347.18218076878222222222 59347.18247903040000000000
FRB20201124A_1_tracking-M01_0061.fits 59347.18247903040000000000 59347.18277729201777777777
FRB20201124A_1_tracking-M01_0062.fits 59347.18277729201777777777 59347.18307555363555555555
FRB20201124A_1_tracking-M01_0063.fits 59347.18307555363555555555 59347.18337381525333333333
FRB20201124A_1_tracking-M01_0064.fits 59347.18337381525333333333 59347.18367207687111111111
FRB20201124A_1_tracking-M01_0065.fits 59347.18367207687111111111 59347.18397033848888888888
FRB20201124A_1_tracking-M01_0066.fits 59347.18397033848888888888 59347.18426860010666666666
FRB20201124A_1_tracking-M01_0067.fits 59347.18426860010666666666 59347.18456686172444444444
FRB20201124A_1_tracking-M01_0068.fits 59347.18456686172444444444 59347.18486512334222222222
FRB20201124A_1_tracking-M01_0069.fits 59347.18486512334222222222 59347.18516338496000000000
FRB20201124A_1_tracking-M01_0070.fits 59347.18516338496000000000 59347.18542669404444444444
FRB20201124A_2_tracking-M01_0001.fits 59347.21461805555555555555 59347.21491631717333333333
FRB20201124A_2_tracking-M01_0002.fits 59347.21491631717333333333 59347.21521457879111111111
FRB20201124A_2_tracking-M01_0003.fits 59347.21521457879111111111 59347.21551284040888888888
FRB20201124A_2_tracking-M01_0004.fits 59347.21551284040888888888 59347.21581110202666666666
FRB20201124A_2_tracking-M01_0005.fits 59347.21581110202666666666 59347.21610936364444444444
FRB20201124A_2_tracking-M01_0006.fits 59347.21610936364444444444 59347.21640762526222222222
FRB20201124A_2_tracking-M01_0007.fits 59347.21640762526222222222 59347.21670588688000000000
FRB20201124A_2_tracking-M01_0008.fits 59347.21670588688000000000 59347.21700414849777777777
FRB20201124A_2_tracking-M01_0009.fits 59347.21700414849777777777 59347.21730241011555555555
FRB20201124A_2_tracking-M01_0010.fits 59347.21730241011555555555 59347.21760067173333333333
FRB20201124A_2_tracking-M01_0011.fits 59347.21760067173333333333 59347.21789893335111111111
FRB20201124A_2_tracking-M01_0012.fits 59347.21789893335111111111 59347.21819719496888888888
FRB20201124A_2_tracking-M01_0013.fits 59347.21819719496888888888 59347.21849545658666666666
