unit_idx,mjd,chi_obs,P_obs,p_obs,Q_obs,z_obs,N_raw,N_rep,meanT_obs,dataset,local_idx
0,59307,3.4938409328460693,1.2410600000000003,0.51317,0.2897387404796569,-0.03301829286190377,21,20,59307.37644619286,FAST1,0
1,59308,3.2257308959960938,3.4779800000000005,0.93242,0.030388419625417204,-1.4940597613916236,21,19,59308.38195017191,FAST1,1
2,59309,3.2115583419799805,13.40949,0.93666,0.02841802588951094,-1.5273258685872775,24,22,59309.39067937624,FAST1,2
3,59310,6.0480146408081055,1.7060300000000002,5e-05,4.301029995663981,3.890591886413094,28,25,59310.37360093608,FAST1,3
4,59311,3.389740228652954,7.528300000000001,0.83504,0.0782927204886148,-0.9742750286377961,39,36,59311.36985410667,FAST1,4
5,59312,3.3241801261901855,12.783750000000001,0.87822,0.056396676784427675,-1.1661346727340764,33,31,59312.316681454846,FAST1,5
6,59313,4.237418174743652,8.94954,0.02089,1.6800615600196915,2.035704867836695,82,65,59313.361298793774,FAST1,6
7,59314,3.8293838500976562,0.20627,0.13059,0.8840900781229392,1.1236064938643668,102,88,59314.364814033135,FAST1,7
8,59315,3.7162704467773438,38.999080000000006,0.2076,0.6827726508235797,0.8147769451360491,108,95,59315.35830611915,FAST1,8
9,59316,4.046605110168457,9.18024,0.06268,1.2028710122034474,1.5326585788593357,73,62,59316.3585551578,FAST1,9
10,59318,3.699115037918091,11.91155,0.30369,0.5175695084318209,0.51381691592342,55,53,59318.36406317981,FAST1,10
11,59319,3.5551488399505615,1.3627000000000002,0.50395,0.29761255046178753,-0.00990134346475884,61,54,59319.348127569996,FAST1,11
12,59320,3.4393351078033447,19.336320000000004,0.70615,0.15110303655039073,-0.5421720323576285,47,44,59320.272326861275,FAST1,12
13,59321,3.2364492416381836,12.020990000000001,0.92302,0.03478888857805932,-1.4256825352939764,32,30,59321.250837380314,FAST1,13
14,59322,3.6399409770965576,1.4096500000000003,0.37427,0.42681498281508123,0.32056508549405416,56,50,59322.33645168769,FAST1,14
15,59323,3.324756383895874,0.62386,0.89287,0.049211768874669395,-1.2419364777355066,64,59,59323.33295656797,FAST1,15
16,59324,3.3627617359161377,2.38764,0.84665,0.07229608728784467,-1.0221709446116847,47,43,59324.37374601361,FAST1,16
17,59325,4.172248840332031,5.35152,0.06722,1.1725014918665413,1.4968203872132588,50,46,59325.321622719006,FAST1,17
18,59326,3.522754192352295,7.42924,0.67661,0.16966158781802718,-0.45824003506860844,65,63,59326.3090015263,FAST1,18
19,59327,3.6010396480560303,2.8422300000000003,0.54297,0.2652241652442708,-0.10791893107311935,40,37,59327.28736036899,FAST1,19
20,59328,3.6656346321105957,19.135460000000002,0.41271,0.3843550080011795,0.22057932604579014,62,56,59328.34789456901,FAST1,20
21,59329,3.4863157272338867,13.984820000000001,0.63424,0.1977463715308375,-0.34310429512914636,37,34,59329.40606714027,FAST1,21
22,59330,3.4492292404174805,4.91753,0.76617,0.11567485716830389,-0.7262916453147912,50,46,59330.303161068194,FAST1,22
23,59331,3.4361765384674072,78.06345,0.8417,0.07484267282410148,-1.0014692484062593,43,40,59331.31842611651,FAST1,23
24,59334,3.6233441829681396,4.47251,0.44741,0.3492943132740687,0.1322077137380496,77,70,59334.302698876745,FAST1,24
25,59336,3.549633502960205,3.2268100000000004,0.64664,0.18933743420950547,-0.37626486093764244,37,36,59336.28429248675,FAST1,25
26,59337,3.6285340785980225,18.764350000000004,0.49603,0.3044920564927545,0.009951478500189417,63,57,59337.283826017454,FAST1,26
27,59338,3.408348560333252,3.7668200000000005,0.47641,0.32201913111193264,0.05916586220916784,12,11,59338.329180029985,FAST1,27
28,59339,3.735492467880249,1.47829,0.25584,0.5920315535978405,0.6562240139666233,19,16,59339.27970697946,FAST1,28
29,59340,4.067836284637451,0.6748000000000001,0.11237,0.9493496191360858,1.2140202277242356,19,16,59340.24468690369,FAST1,29
30,59341,3.4800636768341064,8.00101,0.49749,0.3032156445433157,0.006291678478654812,13,13,59341.27716933078,FAST1,30
31,59343,3.5535390377044678,10.14522,0.41209,0.38500792417357416,0.22217198739810579,13,11,59343.24825136922,FAST1,31
32,59344,3.408348560333252,2.04678,0.89237,0.04945503840328118,-1.2392309009110973,11,11,59344.295584989995,FAST1,32
33,59345,3.5064327716827393,7.684010000000001,0.79471,0.09979132213159674,-0.822873383709778,19,19,59345.31503084368,FAST1,33
34,59346,4.275303840637207,3.6706300000000005,0.06271,1.2026631992246501,1.5324152361933745,16,16,59346.32477571312,FAST1,34
35,59347,5.282492160797119,1.7079700000000002,0.00103,2.9871627752948275,3.08144287478388,25,21,59347.2281289268,FAST1,35
36,59348,4.082611560821533,13.499030000000001,0.10205,0.9911869909479106,1.2699568526166023,44,36,59348.26139085455,FAST1,36
37,59349,3.28991961479187,0.85165,0.98321,0.007353712991076058,-2.1250792581211018,26,24,59349.238024676924,FAST1,37
38,59350,3.495244026184082,7.8578,0.7179,0.1439360466669002,-0.5766143546349102,39,38,59350.24675403564,FAST1,38
39,59351,3.3174872398376465,92.36824,0.95398,0.02046073009746293,-1.6847335006499793,43,43,59351.22497207348,FAST1,39
40,59352,3.6981611251831055,3.28622,0.40831,0.3890099835557277,0.23189444395683162,41,38,59352.30622079389,FAST1,40
41,59353,4.074933052062988,70.18127,0.08964,1.0474981521369764,1.3429752133625894,27,26,59353.263283095184,FAST1,41
42,59354,3.4592363834381104,2.21707,0.57735,0.2385608298497278,-0.19511872994612411,23,22,59354.164804689564,FAST1,42
43,59357,3.437934398651123,13.496120000000001,0.6121,0.2131776205008126,-0.28479657025982175,28,23,59357.157316698926,FAST1,43
44,59360,3.462603807449341,12.771370000000001,0.60952,0.21501203943504518,-0.27806820800663073,28,25,59360.15484520751,FAST1,44
45,59482,3.656869411468506,0.92101,0.33364,0.47672188747708727,0.4298840341605107,35,30,59482.96263047809,FAST2,0
46,59483,3.2752108573913574,5.61013,0.822,0.08512818245994963,-0.92301382625498,72,62,59483.88223692342,FAST2,1
47,59484,3.1442549228668213,72.82037,0.9159,0.03815194098167573,-1.3780106500387928,232,174,59484.83501332988,FAST2,2
48,59485,3.35336971282959,0.82174,0.37052,0.4311883446206597,0.33047642904357066,542,358,59485.804340006485,FAST2,3
49,59309,3.78947377204895,12.200380000000001,0.34753,0.45900769964338173,0.39199758255281514,46,46,59309.61745906826,uGMRT,0
50,59313,3.2215421199798584,2.4477300000000004,0.98393,0.007035797600271458,-2.142665096007442,20,18,59313.81538634401,Effelsberg,0
